x_value,total_1,total_2
402,1605,1193
403,1599,1195
404,1594,1193
405,1592,1192
406,1594,1198
407,1591,1202
408,1596,1197
409,1591,1192
410,1590,1196
411,1585,1197
412,1582,1202
413,1585,1197
414,1583,1192
415,1584,1192
416,1590,1192
417,1596,1191
418,1597,1193
419,1591,1191
420,1589,1189
421,1585,1191
422,1590,1192
423,1595,1190
424,1600,1188
425,1604,1189
426,1611,1191
427,1618,1187
428,1612,1187
429,1613,1182
430,1611,1178
431,1607,1173
432,1614,1168
433,1617,1168
434,1612,1171
435,1612,1168
436,1613,1166
437,1618,1161
438,1614,1157
439,1612,1159
440,1618,1156
441,1618,1155
442,1613,1152
443,1609,1152
444,1616,1150
445,1622,1156
446,1621,1155
447,1621,1161
448,1626,1166
449,1622,1170
450,1624,1176
451,1631,1179
452,1628,1184
453,1635,1181
454,1638,1187
455,1644,1193
456,1643,1189
457,1649,1194
458,1655,1197
459,1661,1196
460,1658,1201
461,1655,1205
462,1653,1209
463,1652,1204
464,1654,1208
465,1649,1203
466,1644,1198
467,1640,1199
468,1643,1199
469,1639,1201
470,1636,1203
471,1630,1204
472,1637,1205
473,1635,1202
474,1641,1202
475,1635,1199
476,1641,1195
477,1649,1191
478,1656,1186
479,1663,1186
480,1666,1183
481,1669,1179
482,1670,1182
483,1666,1177
484,1672,1175
485,1672,1177
486,1675,1176
487,1670,1181
488,1677,1178
489,1674,1175
490,1675,1179
491,1673,1182
492,1677,1185
493,1672,1191
494,1667,1191
495,1675,1191
496,1682,1196
497,1676,1202
498,1680,1199
499,1681,1203
500,1689,1207
501,1684,1212
502,1687,1210
503,1683,1207
504,1677,1208
505,1675,1209
506,1677,1212
507,1684,1210
508,1681,1213
509,1676,1214
510,1673,1214
511,1668,1212
512,1669,1212
513,1664,1210
514,1663,1210
515,1669,1213
516,1671,1210
517,1678,1215
518,1674,1211
519,1673,1206
520,1680,1202
521,1687,1200
522,1681,1198
523,1686,1202
524,1683,1204
525,1690,1208
526,1695,1210
527,1692,1215
528,1691,1215
529,1698,1215
530,1692,1215
531,1694,1219
532,1693,1223
533,1696,1223
534,1697,1229
535,1692,1231
536,1691,1234
537,1689,1239
538,1692,1239
539,1689,1245
540,1694,1246
541,1688,1248
542,1682,1245
543,1686,1240
544,1684,1241
545,1680,1236
546,1681,1241
547,1679,1238
548,1674,1236
549,1673,1231
550,1667,1228
551,1664,1234
552,1658,1238
553,1652,1244
554,1660,1239
555,1655,1245
556,1652,1247
557,1660,1248
558,1658,1252
559,1663,1255
560,1664,1251
561,1669,1257
562,1670,1263
563,1672,1269
564,1675,1274
565,1683,1278
566,1686,1275
567,1688,1277
568,1687,1280
569,1682,1281
570,1680,1276
571,1686,1278
572,1688,1279
573,1693,1279
574,1692,1280
575,1699,1279
576,1706,1274
577,1709,1278
578,1715,1280
579,1717,1275
580,1723,1271
581,1722,1266
582,1719,1271
583,1719,1273
584,1723,1271
585,1721,1270
586,1724,1273
587,1732,1275
588,1730,1278
589,1735,1275
590,1729,1270
591,1723,1267
592,1722,1273
593,1727,1270
594,1725,1270
595,1727,1272
596,1735,1275
597,1734,1270
598,1733,1276
599,1741,1280
600,1740,1281
601,1735,1281
602,1739,1281
603,1739,1285
604,1741,1280
605,1744,1281
606,1745,1277
607,1752,1281
608,1752,1285
609,1752,1286
610,1757,1286
611,1757,1285
612,1754,1290
613,1750,1293
614,1751,1292
615,1751,1297
616,1746,1297
617,1749,1294
618,1749,1300
619,1747,1301
620,1751,1297
621,1759,1302
622,1763,1304
623,1761,1309
624,1767,1313
625,1762,1316
626,1766,1319
627,1769,1322
628,1763,1319
629,1761,1317
630,1769,1313
631,1764,1309
632,1766,1307
633,1764,1308
634,1762,1309
635,1758,1314
636,1754,1309
637,1755,1313
638,1750,1308
639,1752,1312
640,1756,1313
641,1761,1316
642,1762,1316
643,1761,1322
644,1766,1317
645,1762,1315
646,1765,1315
647,1766,1320
648,1773,1326
649,1771,1325
650,1777,1324
651,1774,1326
652,1772,1332
653,1771,1334
654,1775,1334
655,1770,1339
656,1774,1343
657,1779,1344
658,1783,1340
659,1782,1346
660,1782,1347
661,1789,1349
662,1788,1344
663,1783,1341
664,1782,1336
665,1784,1338
666,1790,1338
667,1797,1338
668,1791,1334
669,1786,1329
670,1790,1326
671,1787,1325
672,1785,1321
673,1780,1316
674,1774,1312
675,1777,1313
676,1771,1314
677,1777,1320
678,1785,1319
679,1793,1315
680,1798,1320
681,1801,1315
682,1809,1317
683,1803,1321
684,1809,1327
685,1805,1330
686,1808,1336
687,1802,1337
688,1797,1334
689,1804,1334
690,1809,1330
691,1804,1336
692,1807,1333
693,1802,1331
694,1806,1330
695,1800,1327
696,1803,1331
697,1801,1330
698,1809,1326
699,1806,1327
700,1814,1329
701,1819,1332
702,1826,1337
703,1834,1333
704,1841,1333
705,1843,1333
706,1840,1332
707,1843,1331
708,1850,1327
709,1844,1329
710,1844,1328
711,1850,1332
712,1854,1328
713,1851,1327
714,1851,1328
715,1846,1325
716,1848,1330
717,1850,1330
718,1844,1329
719,1844,1324
720,1851,1321
721,1847,1319
722,1841,1319
723,1836,1321
724,1833,1320
725,1841,1320
726,1842,1326
727,1836,1330
728,1842,1327
729,1848,1322
730,1849,1322
731,1847,1325
732,1852,1327
733,1858,1330
734,1854,1334
735,1851,1334
736,1853,1335
737,1851,1334
738,1847,1340
739,1842,1338
740,1847,1342
741,1845,1347
742,1853,1342
743,1847,1344
744,1849,1343
745,1850,1348
746,1857,1350
747,1865,1349
748,1864,1347
749,1859,1345
750,1860,1343
751,1866,1349
752,1873,1346
753,1876,1349
754,1877,1352
755,1871,1350
756,1879,1347
757,1882,1347
758,1889,1352
759,1885,1347
760,1893,1350
761,1901,1354
762,1909,1355
763,1905,1353
764,1903,1348
765,1909,1351
766,1909,1349
767,1906,1346
768,1913,1350
769,1909,1345
770,1913,1349
771,1908,1349
772,1906,1353
773,1910,1356
774,1904,1351
775,1902,1357
776,1902,1359
777,1903,1354
778,1907,1356
779,1908,1358
780,1915,1358
781,1916,1356
782,1915,1356
783,1911,1351
784,1912,1353
785,1911,1355
786,1914,1352
787,1913,1350
788,1920,1352
789,1923,1358
790,1931,1360
791,1932,1359
792,1937,1362
793,1942,1358
794,1939,1360
795,1934,1356
796,1932,1361
797,1927,1366
798,1928,1365
799,1933,1366
800,1938,1365
801,1941,1370
802,1939,1367
803,1936,1367
804,1939,1373
805,1945,1368
806,1951,1368
807,1947,1371
808,1955,1371
809,1949,1377
810,1943,1379
811,1939,1379
812,1945,1376
813,1944,1372
814,1952,1371
815,1956,1373
816,1956,1371
817,1959,1377
818,1958,1375
819,1963,1370
820,1962,1374
821,1966,1372
822,1973,1374
823,1968,1378
824,1970,1383
825,1967,1387
826,1974,1388
827,1980,1387
828,1976,1386
829,1977,1386
830,1977,1382
831,1981,1378
832,1977,1384
833,1980,1389
834,1988,1386
835,1988,1390
836,1983,1386
837,1987,1389
838,1994,1388
839,1999,1384
840,1998,1384
841,2006,1380
842,2003,1384
843,2009,1385
844,2005,1387
845,2011,1385
846,2017,1388
847,2018,1384
848,2017,1386
849,2017,1382
850,2011,1379
851,2011,1383
852,2017,1385
853,2012,1385
854,2019,1380
855,2023,1386
856,2026,1389
857,2032,1392
858,2028,1393
859,2036,1389
860,2040,1388
861,2037,1391
862,2034,1388
863,2038,1387
864,2043,1387
865,2042,1393
866,2037,1390
867,2033,1390
868,2041,1394
869,2037,1390
870,2045,1391
871,2041,1390
872,2048,1391
873,2050,1394
874,2048,1395
875,2055,1392
876,2054,1388
877,2056,1392
878,2051,1397
879,2045,1402
880,2052,1397
881,2059,1392
882,2053,1388
883,2058,1393
884,2062,1395
885,2061,1391
886,2063,1395
887,2066,1401
888,2068,1398
889,2068,1398
890,2072,1404
891,2076,1404
892,2075,1404
893,2081,1401
894,2078,1403
895,2079,1409
896,2080,1404
897,2081,1403
898,2087,1405
899,2088,1410
900,2086,1413
901,2080,1411
902,2076,1406
903,2070,1409
904,2070,1410
905,2076,1406
906,2081,1409
907,2087,1404
908,2094,1410
909,2094,1406
910,2092,1409
911,2086,1409
912,2092,1415
913,2088,1416
914,2096,1417
915,2094,1419
916,2089,1415
917,2085,1412
918,2092,1413
919,2091,1417
920,2097,1419
921,2094,1424
922,2098,1423
923,2094,1418
924,2098,1413
925,2098,1411
926,2104,1417
927,2101,1416
928,2106,1413
929,2101,1411
930,2102,1407
931,2097,1408
932,2095,1404
933,2092,1408
934,2098,1408
935,2096,1410
936,2090,1409
937,2097,1415
938,2095,1412
939,2092,1413
940,2086,1412
941,2084,1416
942,2085,1422
943,2090,1428
944,2085,1424
945,2092,1424
946,2088,1419
947,2083,1414
948,2080,1412
949,2079,1407
950,2081,1411
951,2084,1415
952,2078,1411
953,2081,1417
954,2088,1419
955,2096,1418
956,2090,1416
957,2087,1416
958,2083,1420
959,2091,1420
960,2094,1422
961,2090,1422
962,2095,1427
963,2092,1433
964,2095,1431
965,2095,1429
966,2089,1434
967,2086,1438
968,2084,1434
969,2083,1438
970,2078,1441
971,2076,1438
972,2080,1437
973,2078,1440
974,2082,1435
975,2087,1430
976,2087,1434
977,2086,1432
978,2091,1433
979,2087,1430
980,2091,1432
981,2092,1429
982,2090,1424
983,2093,1420
984,2092,1420
985,2096,1418
986,2092,1415
987,2090,1416
988,2085,1420
989,2088,1417
990,2092,1413
991,2086,1417
992,2082,1422
993,2087,1428
994,2091,1433
995,2092,1435
996,2094,1432
997,2101,1438
998,2102,1440
999,2100,1437
1000,2097,1436
1001,2098,1431
1002,2102,1435
1003,2099,1431
1004,2099,1428
1005,2098,1427
1006,2105,1426
1007,2104,1432
1008,2100,1430
1009,2098,1436
1010,2092,1438
1011,2096,1442
1012,2098,1437
1013,2102,1441
1014,2097,1437
1015,2096,1440
1016,2099,1435
1017,2095,1436
1018,2100,1433
1019,2103,1439
1020,2100,1437
1021,2102,1442
1022,2109,1444
1023,2106,1449
1024,2109,1453
1025,2104,1457
1026,2111,1460
1027,2106,1456
1028,2104,1451
1029,2110,1448
1030,2116,1449
1031,2123,1451
1032,2123,1452
1033,2119,1451
1034,2113,1453
1035,2118,1449
1036,2121,1450
1037,2120,1445
1038,2127,1447
1039,2126,1451
1040,2130,1451
1041,2126,1452
1042,2122,1451
1043,2129,1453
1044,2124,1451
1045,2130,1453
1046,2128,1455
1047,2134,1451
1048,2133,1451
1049,2130,1454
1050,2127,1455
1051,2122,1455
1052,2116,1461
1053,2112,1467
1054,2108,1470
1055,2105,1474
1056,2109,1477
1057,2110,1481
1058,2111,1481
1059,2106,1482
1060,2113,1488
1061,2118,1493
1062,2119,1488
1063,2123,1488
1064,2129,1489
1065,2132,1495
1066,2138,1490
1067,2146,1496
1068,2142,1502
1069,2139,1507
1070,2145,1506
1071,2147,1509
1072,2150,1504
1073,2151,1507
1074,2156,1508
1075,2158,1504
1076,2152,1508
1077,2155,1506
1078,2156,1507
1079,2155,1504
1080,2152,1503
1081,2159,1502
1082,2159,1497
1083,2157,1500
1084,2164,1503
1085,2170,1500
1086,2178,1495
1087,2183,1499
1088,2184,1505
1089,2184,1500
1090,2179,1500
1091,2179,1502
1092,2185,1500
1093,2182,1497
1094,2187,1501
1095,2192,1503
1096,2189,1507
1097,2186,1511
1098,2186,1509
1099,2182,1512
1100,2177,1518
1101,2174,1515
1102,2179,1516
1103,2178,1520
1104,2175,1526
1105,2179,1528
1106,2174,1523
1107,2168,1528
1108,2170,1534
1109,2174,1535
1110,2169,1540
1111,2166,1546
1112,2174,1549
1113,2170,1546
1114,2172,1552
1115,2178,1557
1116,2185,1554
1117,2182,1560
1118,2176,1555
1119,2175,1550
1120,2183,1545
1121,2181,1542
1122,2185,1538
1123,2189,1536
1124,2184,1531
1125,2190,1529
1126,2185,1526
1127,2188,1531
1128,2184,1530
1129,2180,1531
1130,2181,1528
1131,2181,1532
1132,2177,1533
1133,2175,1529
1134,2181,1526
1135,2177,1526
1136,2176,1523
1137,2180,1518
1138,2174,1518
1139,2172,1522
1140,2167,1521
1141,2165,1519
1142,2162,1519
1143,2169,1515
1144,2164,1515
1145,2163,1514
1146,2168,1519
1147,2172,1520
1148,2176,1517
1149,2178,1516
1150,2182,1512
1151,2186,1513
1152,2194,1517
1153,2190,1516
1154,2189,1511
1155,2195,1512
1156,2192,1507
1157,2196,1507
1158,2193,1512
1159,2187,1510
1160,2194,1512
1161,2192,1515
1162,2189,1521
1163,2187,1516
1164,2193,1513
1165,2190,1508
1166,2191,1513
1167,2194,1508
1168,2200,1510
1169,2198,1509
1170,2206,1511
1171,2204,1514
1172,2201,1511
1173,2198,1512
1174,2196,1516
1175,2202,1519
1176,2201,1524
1177,2205,1529
1178,2203,1527
1179,2209,1527
1180,2208,1529
1181,2211,1525
1182,2211,1527
1183,2207,1527
1184,2214,1531
1185,2212,1526
1186,2210,1525
1187,2211,1530
1188,2214,1529
1189,2214,1524
1190,2213,1529
1191,2216,1530
1192,2211,1535
1193,2206,1541
1194,2212,1542
1195,2209,1540
1196,2210,1535
1197,2212,1532
1198,2212,1530
1199,2214,1528
1200,2219,1527
1201,2222,1530
1202,2229,1535
1203,2237,1540
1204,2231,1543
1205,2229,1543
1206,2235,1547
1207,2239,1543
1208,2235,1538
1209,2234,1537
1210,2235,1539
1211,2234,1535
1212,2240,1531
1213,2243,1537
1214,2246,1543
1215,2241,1540
1216,2236,1537
1217,2233,1532
1218,2238,1532
1219,2240,1532
1220,2244,1536
1221,2251,1536
1222,2248,1535
1223,2249,1539
1224,2250,1537
1225,2250,1536
1226,2247,1535
1227,2250,1540
1228,2244,1535
1229,2240,1541
1230,2247,1543
1231,2244,1549
1232,2243,1544
1233,2251,1549
1234,2247,1546
1235,2242,1541
1236,2250,1546
1237,2254,1548
1238,2261,1546
1239,2255,1552
1240,2252,1554
1241,2248,1557
1242,2249,1555
1243,2248,1550
1244,2246,1552
1245,2250,1550
1246,2257,1548
1247,2261,1554
1248,2262,1558
1249,2261,1554
1250,2259,1550
1251,2266,1548
1252,2269,1544
1253,2277,1540
1254,2281,1543
1255,2277,1540
1256,2274,1543
1257,2276,1546
1258,2283,1546
1259,2287,1549
1260,2284,1544
1261,2283,1549
1262,2286,1545
1263,2287,1540
1264,2287,1537
1265,2282,1538
1266,2287,1533
1267,2292,1531
1268,2287,1535
1269,2288,1533
1270,2290,1534
1271,2294,1535
1272,2297,1533
1273,2303,1530
1274,2306,1527
1275,2301,1522
1276,2299,1518
1277,2297,1522
1278,2296,1517
1279,2300,1523
1280,2296,1518
1281,2301,1524
1282,2305,1520
1283,2305,1515
1284,2312,1521
1285,2312,1523
1286,2319,1529
1287,2327,1533
1288,2324,1531
1289,2332,1532
1290,2332,1534
1291,2336,1539
1292,2335,1536
1293,2334,1541
1294,2340,1539
1295,2335,1538
1296,2329,1544
1297,2332,1544
1298,2332,1546
1299,2334,1550
1300,2329,1552
1301,2330,1550
1302,2327,1547
1303,2329,1543
1304,2324,1546
1305,2321,1549
1306,2320,1545
1307,2320,1551
1308,2328,1550
1309,2328,1549
1310,2327,1549
1311,2322,1549
1312,2329,1545
1313,2323,1540
1314,2322,1535
1315,2323,1530
1316,2320,1533
1317,2322,1533
1318,2325,1530
1319,2333,1535
1320,2328,1540
1321,2326,1540
1322,2328,1545
1323,2336,1544
1324,2344,1544
1325,2341,1545
1326,2343,1546
1327,2343,1551
1328,2344,1551
1329,2350,1557
1330,2353,1552
1331,2360,1550
1332,2361,1553
1333,2362,1555
1334,2359,1553
1335,2363,1558
1336,2359,1560
1337,2361,1556
1338,2361,1560
1339,2365,1558
1340,2363,1556
1341,2369,1562
1342,2376,1559
1343,2371,1563
1344,2375,1560
1345,2375,1566
1346,2377,1565
1347,2371,1562
1348,2377,1562
1349,2371,1559
1350,2372,1557
1351,2376,1552
1352,2378,1555
1353,2374,1555
1354,2369,1560
1355,2376,1560
1356,2378,1560
1357,2386,1565
1358,2382,1564
1359,2382,1562
1360,2377,1562
1361,2380,1562
1362,2384,1561
1363,2391,1566
1364,2391,1565
1365,2399,1564
1366,2400,1561
1367,2406,1556
1368,2409,1556
1369,2410,1554
1370,2418,1551
1371,2416,1556
1372,2418,1561
1373,2420,1563
1374,2418,1564
1375,2420,1560
1376,2420,1556
1377,2424,1553
1378,2423,1554
1379,2430,1554
1380,2436,1551
1381,2437,1548
1382,2442,1550
1383,2448,1552
1384,2451,1556
1385,2459,1553
1386,2458,1559
1387,2457,1562
1388,2457,1562
1389,2459,1564
1390,2467,1566
1391,2463,1561
1392,2462,1567
1393,2469,1569
1394,2468,1572
1395,2465,1567
1396,2471,1567
1397,2479,1572
1398,2483,1572
1399,2481,1567
1400,2476,1565
1401,2479,1560
1402,2474,1560
1403,2471,1562
1404,2477,1567
1405,2476,1563
1406,2484,1566
1407,2491,1564
1408,2491,1564
1409,2497,1561
1410,2492,1564
1411,2498,1562
1412,2499,1560
1413,2506,1558
1414,2506,1558
1415,2514,1559
1416,2511,1561
1417,2506,1561
1418,2503,1560
1419,2506,1561
1420,2509,1561
1421,2515,1565
1422,2521,1565
1423,2527,1561
1424,2532,1563
1425,2527,1562
1426,2527,1560
1427,2522,1563
1428,2517,1565
1429,2518,1569
1430,2512,1566
1431,2513,1570
1432,2512,1572
1433,2519,1575
1434,2525,1571
1435,2522,1575
1436,2518,1578
1437,2522,1577
1438,2528,1581
1439,2523,1582
1440,2523,1582
1441,2521,1577
1442,2517,1572
1443,2523,1572
1444,2528,1578
1445,2531,1583
1446,2538,1578
1447,2543,1581
1448,2537,1580
1449,2534,1581
1450,2531,1587
1451,2536,1590
1452,2532,1596
1453,2533,1602
1454,2528,1606
1455,2532,1606
1456,2531,1610
1457,2528,1611
1458,2523,1607
1459,2531,1611
1460,2533,1617
1461,2533,1613
1462,2533,1612
1463,2527,1607
1464,2533,1606
1465,2533,1612
1466,2536,1608
1467,2542,1610
1468,2546,1611
1469,2544,1616
1470,2548,1618
1471,2543,1619
1472,2550,1621
1473,2547,1627
1474,2545,1627
1475,2540,1622
1476,2544,1617
1477,2542,1613
1478,2540,1613
1479,2536,1608
1480,2543,1613
1481,2546,1610
1482,2545,1607
1483,2546,1605
1484,2549,1607
1485,2557,1602
1486,2560,1599
1487,2557,1594
1488,2551,1593
1489,2557,1594
1490,2565,1596
1491,2568,1601
1492,2563,1600
1493,2561,1605
1494,2567,1603
1495,2567,1602
1496,2574,1601
1497,2568,1600
1498,2564,1595
1499,2570,1600
1500,2570,1606
1501,2570,1609
1502,2577,1610
1503,2580,1616
1504,2585,1615
1505,2593,1611
1506,2599,1609
1507,2597,1615
1508,2595,1610
1509,2592,1609
1510,2598,1604
1511,2596,1605
1512,2595,1609
1513,2595,1609
1514,2603,1606
1515,2603,1605
1516,2600,1605
1517,2605,1600
1518,2599,1603
1519,2599,1605
1520,2606,1602
1521,2604,1606
1522,2612,1601
1523,2610,1599
1524,2615,1595
1525,2616,1600
1526,2623,1597
1527,2626,1598
1528,2626,1596
1529,2632,1595
1530,2635,1591
1531,2641,1592
1532,2640,1589
1533,2639,1595
1534,2636,1591
1535,2644,1591
1536,2646,1587
1537,2654,1587
1538,2661,1585
1539,2660,1583
1540,2655,1578
1541,2652,1576
1542,2660,1575
1543,2667,1573
1544,2671,1572
1545,2670,1569
1546,2667,1569
1547,2662,1572
1548,2668,1572
1549,2666,1569
1550,2660,1570
1551,2656,1569
1552,2658,1564
1553,2665,1567
1554,2666,1571
1555,2661,1566
1556,2666,1562
1557,2673,1566
1558,2680,1563
1559,2686,1562
1560,2689,1561
1561,2694,1562
1562,2701,1566
1563,2703,1563
1564,2707,1563
1565,2707,1564
1566,2705,1564
1567,2706,1567
1568,2711,1573
1569,2717,1571
1570,2722,1568
1571,2723,1565
1572,2730,1566
1573,2733,1569
1574,2739,1570
1575,2739,1574
1576,2733,1579
1577,2736,1585
1578,2741,1582
1579,2738,1578
1580,2746,1574
1581,2748,1578
1582,2745,1578
1583,2752,1575
1584,2746,1575
1585,2744,1575
1586,2750,1581
1587,2746,1577
1588,2750,1576
1589,2745,1572
1590,2746,1576
1591,2740,1574
1592,2743,1580
1593,2750,1581
1594,2758,1585
1595,2755,1590
1596,2749,1586
1597,2755,1581
1598,2757,1579
1599,2763,1578
1600,2766,1576
1601,2768,1581
1602,2776,1581
1603,2780,1577
1604,2782,1582
1605,2783,1588
1606,2789,1592
1607,2783,1588
1608,2790,1591
1609,2784,1589
1610,2785,1587
1611,2781,1588
1612,2787,1594
1613,2783,1589
1614,2783,1592
1615,2788,1592
1616,2787,1591
1617,2792,1593
1618,2795,1595
1619,2791,1598
1620,2785,1602
1621,2784,1603
1622,2785,1609
1623,2789,1610
1624,2795,1613
1625,2798,1618
1626,2798,1620
1627,2794,1617
1628,2794,1613
1629,2799,1608
1630,2804,1612
1631,2801,1617
1632,2802,1614
1633,2799,1618
1634,2795,1617
1635,2800,1620
1636,2801,1626
1637,2801,1621
1638,2795,1626
1639,2794,1622
1640,2802,1628
1641,2810,1629
1642,2809,1625
1643,2810,1620
1644,2813,1618
1645,2816,1617
1646,2824,1619
1647,2820,1622
1648,2825,1625
1649,2824,1626
1650,2832,1624
1651,2830,1625
1652,2829,1624
1653,2823,1627
1654,2826,1627
1655,2823,1627
1656,2823,1629
1657,2822,1634
1658,2816,1633
1659,2823,1629
1660,2830,1624
1661,2838,1623
1662,2844,1619
1663,2840,1625
1664,2848,1621
1665,2842,1618
1666,2840,1613
